Month,ClosingValue
Jul-60,616.73
Aug-60,625.99
Sep-60,580.14
Oct-60,580.36
Nov-60,597.22
Dec-60,615.89
Jan-61,648.20
Feb-61,662.08
Mar-61,676.63
Apr-61,678.71
May-61,696.72
Jun-61,683.96
Jul-61,705.37
Aug-61,719.94
Sep-61,701.21
Oct-61,703.92
Nov-61,721.60
Dec-61,731.14
Jan-62,700.00
Feb-62,708.05
Mar-62,706.95
Apr-62,665.33
May-62,613.36
Jun-62,561.28
Jul-62,597.93
Aug-62,609.18
Sep-62,578.98
Oct-62,589.77
Nov-62,649.30
Dec-62,652.10
Jan-63,682.85
Feb-63,662.94
Mar-63,682.52
Apr-63,717.70
May-63,726.96
Jun-63,706.88
Jul-63,695.43
Aug-63,729.32
Sep-63,732.79
Oct-63,755.23
Nov-63,750.52
Dec-63,762.95
Jan-64,785.34
Feb-64,800.14
Mar-64,813.29
Apr-64,810.77
May-64,820.56
Jun-64,831.50
Jul-64,841.10
Aug-64,838.48
Sep-64,875.37
Oct-64,873.08
Nov-64,875.43
Dec-64,874.13
Jan-65,902.86
Feb-65,903.48
Mar-65,889.05
Apr-65,922.31
May-65,918.04
Jun-65,868.03
Jul-65,881.74
Aug-65,893.10
Sep-65,930.58
Oct-65,960.82
Nov-65,946.71
Dec-65,969.26
Jan-66,983.51
Feb-66,951.89
Mar-66,924.77
Apr-66,933.68
May-66,884.07
Jun-66,870.10
Jul-66,847.38
Aug-66,788.41
Sep-66,774.22
Oct-66,807.07
Nov-66,791.59
Dec-66,785.69
Jan-67,849.89
Feb-67,839.37
Mar-67,865.98
Apr-67,897.05
May-67,852.56
Jun-67,860.26
Jul-67,904.24
Aug-67,901.29
Sep-67,926.66
Oct-67,879.74
Nov-67,875.81
Dec-67,905.11
Jan-68,855.47
Feb-68,840.50
Mar-68,840.67
Apr-68,912.22
May-68,899.00
Jun-68,897.80
Jul-68,883.00
Aug-68,896.01
Sep-68,935.79
Oct-68,952.39
Nov-68,985.08
Dec-68,943.75
Jan-69,946.05
Feb-69,905.21
Mar-69,935.48
Apr-69,950.18
May-69,937.56
Jun-69,873.19
Jul-69,815.47
Aug-69,836.72
Sep-69,813.09
Oct-69,855.99
Nov-69,812.30
Dec-69,800.36
Jan-70,744.06
Feb-70,777.59
Mar-70,785.57
Apr-70,736.07
May-70,700.44
Jun-70,683.53
Jul-70,734.12
Aug-70,764.58
Sep-70,760.68
Oct-70,755.61
Nov-70,794.09
Dec-70,838.92
Jan-71,868.50
Feb-71,878.83
Mar-71,904.37
Apr-71,941.75
May-71,907.81
Jun-71,891.14
Jul-71,858.43
Aug-71,898.07
Sep-71,887.19
Oct-71,839.00
Nov-71,831.34
Dec-71,890.20
Jan-72,902.17
Feb-72,928.13
Mar-72,940.70
Apr-72,954.17
May-72,960.72
Jun-72,929.03
Jul-72,924.74
Aug-72,963.73
Sep-72,953.27
Oct-72,955.52
Nov-72,1018.21
Dec-72,1020.02
Jan-73,999.02
Feb-73,955.07
Mar-73,951.01
Apr-73,921.43
May-73,901.41
Jun-73,891.71
Jul-73,926.40
Aug-73,887.57
Sep-73,947.10
Oct-73,956.58
Nov-73,822.25
Dec-73,850.86
Jan-74,855.55
Feb-74,860.53
Mar-74,846.68
Apr-74,836.75
May-74,802.17
Jun-74,802.41
Jul-74,757.43
Aug-74,678.58
Sep-74,607.87
Oct-74,665.52
Nov-74,618.66
Dec-74,616.24
Jan-75,703.69
Feb-75,739.05
Mar-75,768.15
Apr-75,821.34
May-75,832.29
Jun-75,878.99
Jul-75,831.51
Aug-75,835.34
Sep-75,793.88
Oct-75,836.04
Nov-75,860.67
Dec-75,852.41
Jan-76,975.28
Feb-76,972.61
Mar-76,999.45
Apr-76,996.85
May-76,975.23
Jun-76,1002.78
Jul-76,984.64
Aug-76,973.74
Sep-76,990.19
Oct-76,964.93
Nov-76,947.22
Dec-76,1004.65
Jan-77,954.37
Feb-77,936.42
Mar-77,919.13
Apr-77,926.90
May-77,898.66
Jun-77,916.30
Jul-77,890.07
Aug-77,861.49
Sep-77,847.11
Oct-77,818.35
Nov-77,829.70
Dec-77,831.17
Jan-78,769.92
Feb-78,742.12
Mar-78,757.36
Apr-78,837.32
May-78,840.61
Jun-78,818.95
Jul-78,862.27
Aug-78,876.82
Sep-78,865.82
Oct-78,792.45
Nov-78,799.03
Dec-78,805.01
Jan-79,839.22
Feb-79,808.82
Mar-79,862.18
Apr-79,854.90
May-79,822.33
Jun-79,841.98
Jul-79,846.42
Aug-79,887.63
Sep-79,878.58
Oct-79,815.70
Nov-79,822.35
Dec-79,838.74
Jan-80,875.85
Feb-80,863.14
Mar-80,785.75
Apr-80,817.06
May-80,850.85
Jun-80,867.92
Jul-80,935.32
Aug-80,932.59
Sep-80,932.42
Oct-80,924.49
Nov-80,993.34
Dec-80,963.99
Jan-81,947.27
Feb-81,974.58
Mar-81,1003.87
Apr-81,997.75
May-81,991.75
Jun-81,976.88
Jul-81,952.34
Aug-81,881.47
Sep-81,849.98
Oct-81,852.55
Nov-81,888.98
Dec-81,875.00
Jan-82,871.10
Feb-82,824.39
Mar-82,822.77
Apr-82,848.36
May-82,819.54
Jun-82,811.93
Jul-82,808.60
Aug-82,901.31
Sep-82,896.25
Oct-82,991.72
Nov-82,1039.28
Dec-82,1046.54
Jan-83,1075.70
Feb-83,1112.16
Mar-83,1130.03
Apr-83,1226.20
May-83,1199.98
Jun-83,1221.96
Jul-83,1199.22
Aug-83,1216.16
Sep-83,1233.13
Oct-83,1225.20
Nov-83,1276.02
Dec-83,1258.64
Jan-84,1220.58
Feb-84,1154.63
Mar-84,1164.89
Apr-84,1170.75
May-84,1104.85
Jun-84,1132.40
Jul-84,1115.28
Aug-84,1224.38
Sep-84,1206.71
Oct-84,1207.38
Nov-84,1188.94
Dec-84,1211.57
Jan-85,1286.77
Feb-85,1284.01
Mar-85,1266.78
Apr-85,1258.06
May-85,1315.41
Jun-85,1335.46
Jul-85,1347.45
Aug-85,1334.01
Sep-85,1328.63
Oct-85,1374.31
Nov-85,1472.13
Dec-85,1546.67
Jan-86,1570.99
Feb-86,1709.06
Mar-86,1818.61
Apr-86,1783.98
May-86,1876.71
Jun-86,1892.72
Jul-86,1775.31
Aug-86,1898.34
Sep-86,1767.58
Oct-86,1877.71
Nov-86,1914.23
Dec-86,1895.95
Jan-87,2158.04
Feb-87,2223.99
Mar-87,2304.69
Apr-87,2286.36
May-87,2291.57
Jun-87,2418.53
Jul-87,2572.07
Aug-87,2662.95
Sep-87,2596.28
Oct-87,1993.53
Nov-87,1833.55
Dec-87,1938.83
Jan-88,1958.22
Feb-88,2071.62
Mar-88,1988.06
Apr-88,2032.33
May-88,2031.12
Jun-88,2141.71
Jul-88,2128.73
Aug-88,2031.65
Sep-88,2112.91
Oct-88,2148.65
Nov-88,2114.51
Dec-88,2168.57
Jan-89,2342.32
Feb-89,2258.39
Mar-89,2293.62
Apr-89,2418.80
May-89,2480.15
Jun-89,2440.06
Jul-89,2660.66
Aug-89,2737.27
Sep-89,2692.82
Oct-89,2645.08
Nov-89,2706.27
Dec-89,2753.20
Jan-90,2590.54
Feb-90,2627.25
Mar-90,2707.21
Apr-90,2656.76
May-90,2876.66
Jun-90,2880.69
Jul-90,2905.20
Aug-90,2614.36
Sep-90,2452.48
Oct-90,2442.33
Nov-90,2559.65
Dec-90,2633.66
Jan-91,2736.39
Feb-91,2882.18
Mar-91,2913.86
Apr-91,2887.87
May-91,3027.50
Jun-91,2906.75
Jul-91,3024.82
Aug-91,3043.60
Sep-91,3016.77
Oct-91,3069.10
Nov-91,2894.68
Dec-91,3168.83
Jan-92,3223.39
Feb-92,3267.67
Mar-92,3235.47
Apr-92,3359.12
May-92,3396.88
Jun-92,3318.52
Jul-92,3393.78
Aug-92,3257.35
Sep-92,3271.66
Oct-92,3226.28
Nov-92,3305.16
Dec-92,3301.11
Jan-93,3310.03
Feb-93,3370.81
Mar-93,3435.11
Apr-93,3427.55
May-93,3527.43
Jun-93,3516.08
Jul-93,3539.47
Aug-93,3651.25
Sep-93,3555.12
Oct-93,3680.59
Nov-93,3683.95
Dec-93,3754.09
Jan-94,3978.36
Feb-94,3832.02
Mar-94,3635.96
Apr-94,3681.69
May-94,3758.37
Jun-94,3624.96
Jul-94,3764.50
Aug-94,3913.42
Sep-94,3843.19
Oct-94,3908.12
Nov-94,3739.23
Dec-94,3834.44
Jan-95,3843.86
Feb-95,4011.05
Mar-95,4157.69
Apr-95,4321.27
May-95,4465.14
Jun-95,4556.10
Jul-95,4708.47
Aug-95,4610.56
Sep-95,4789.08
Oct-95,4755.48
Nov-95,5074.49
Dec-95,5117.12
Jan-96,5395.30
Feb-96,5485.62
Mar-96,5587.14
Apr-96,5569.08
May-96,5643.18
Jun-96,5654.63
Jul-96,5528.91
Aug-96,5616.21
Sep-96,5882.17
Oct-96,6029.38
Nov-96,6521.70
Dec-96,6448.27
Jan-97,6813.09
Feb-97,6877.74
Mar-97,6583.48
Apr-97,7008.99
May-97,7331.04
Jun-97,7672.79
Jul-97,8222.61
Aug-97,7622.42
Sep-97,7945.26
Oct-97,7442.08
Nov-97,7823.13
Dec-97,7908.25
Jan-98,7906.50
Feb-98,8545.72
Mar-98,8799.81
Apr-98,9063.37
May-98,8899.95
Jun-98,8952.02
Jul-98,8883.29
Aug-98,7539.07
Sep-98,7842.62
Oct-98,8592.10
Nov-98,9116.55
Dec-98,9181.43
Jan-99,9358.83
Feb-99,9306.58
Mar-99,9786.16
Apr-99,10789.04
May-99,10559.74
Jun-99,10970.80
Jul-99,10655.15
Aug-99,10829.28
Sep-99,10336.95
Oct-99,10729.86
Nov-99,10877.81
Dec-99,11497.12
Jan-00,10940.53
Feb-00,10128.31
Mar-00,10921.92
Apr-00,10733.91
May-00,10522.33
Jun-00,10447.89
Jul-00,10521.98
Aug-00,11215.10
Sep-00,10650.92
Oct-00,10971.14
Nov-00,10414.49
Dec-00,10787.99
Jan-01,10887.36
Feb-01,10495.28
Mar-01,9878.78
Apr-01,10734.97
May-01,10911.94
Jun-01,10502.40
Jul-01,10522.81
Aug-01,9949.75
Sep-01,8847.56
Oct-01,9075.14
Nov-01,9851.56
Dec-01,10021.57
Jan-02,9920.00
Feb-02,10106.13
Mar-02,10403.94
Apr-02,9946.22
May-02,9925.25
Jun-02,9243.26
Jul-02,8736.59
Aug-02,8663.50
Sep-02,7591.93
Oct-02,8397.03
Nov-02,8896.09
Dec-02,8341.63
Jan-03,8053.81
Feb-03,7891.08
Mar-03,7992.13
Apr-03,8480.09
May-03,8850.26
Jun-03,8985.44
Jul-03,9233.80
Aug-03,9415.82
Sep-03,9275.06
Oct-03,9801.12
Nov-03,9782.46
Dec-03,10453.92
Jan-04,10488.07
Feb-04,10583.92
Mar-04,10357.70
Apr-04,10225.57
May-04,10188.45
Jun-04,10435.48
Jul-04,10139.71
Aug-04,10173.92
Sep-04,10080.27
Oct-04,10027.47
Nov-04,10428.02
Dec-04,10783.01
Jan-05,10489.94
Feb-05,10766.23
Mar-05,10503.76
Apr-05,10192.51
May-05,10467.48
Jun-05,10274.97
Jul-05,10640.91
Aug-05,10481.60
Sep-05,10568.70
Oct-05,10440.07
Nov-05,10805.87
Dec-05,10717.50
Jan-06,10864.86
Feb-06,10993.41
Mar-06,11109.32
Apr-06,11367.14
May-06,11168.31
Jun-06,11150.22
Jul-06,11185.68
Aug-06,11381.15
Sep-06,11679.07
Oct-06,12080.73
Nov-06,12221.93
Dec-06,12463.15
Jan-07,12621.69
Feb-07,12268.63
Mar-07,12354.35
Apr-07,13062.91
May-07,13627.64
Jun-07,13408.62
Jul-07,13211.99
Aug-07,13357.74
Sep-07,13895.63
Oct-07,13930.01
Nov-07,13371.72
Dec-07,13264.82
Jan-08,12650.36
Feb-08,12266.39
Mar-08,12262.89
Apr-08,12820.13
May-08,12638.32
Jun-08,11350.01
Jul-08,11378.02
Aug-08,11543.55
Sep-08,10850.66
Oct-08,9325.01
Nov-08,8829.04
Dec-08,8776.39
Jan-09,8000.86
Feb-09,7062.93
Mar-09,7608.92
Apr-09,8168.12
May-09,8500.33
Jun-09,8447.00
Jul-09,9171.61
Aug-09,9496.28
Sep-09,9712.28
Oct-09,9712.73
Nov-09,10344.84
Dec-09,10428.05
Jan-10,10067.33
Feb-10,10325.26
Mar-10,10856.63
Apr-10,11008.61
May-10,10136.63
Jun-10,9774.02
Jul-10,10465.94
Aug-10,10014.72
Sep-10,10788.05
Oct-10,11118.40
Nov-10,11006.02
Dec-10,11577.51
Jan-11,11891.93
Feb-11,12226.34
Mar-11,12319.73
Apr-11,12810.54
May-11,12569.79
Jun-11,12414.34
Jul-11,12143.24
Aug-11,11613.53
Sep-11,10913.38
Oct-11,11955.01
Nov-11,12045.68
Dec-11,12217.56
Jan-12,12632.91
Feb-12,12952.07
Mar-12,13212.04
Apr-12,13213.63
May-12,12393.45
Jun-12,12880.09
Jul-12,13008.68
Aug-12,13090.84
Sep-12,13437.13
Oct-12,13096.46
Nov-12,13025.58
Dec-12,13104.14
Jan-13,13860.58
Feb-13,14054.49
Mar-13,14578.54
Apr-13,14839.80
May-13,15115.57
Jun-13,14909.60
Jul-13,15499.54
Aug-13,14810.31
Sep-13,15129.67
Oct-13,15545.75
Nov-13,16086.41
Dec-13,16576.66
Jan-14,15698.85
Feb-14,16321.71
Mar-14,16457.66
Apr-14,16580.84
May-14,16717.17
Jun-14,16826.60
Jul-14,16563.30
Aug-14,17098.45
Sep-14,17042.90
Oct-14,17390.52
Nov-14,17828.24
Dec-14,17823.07
Jan-15,17164.95
Feb-15,18132.70
Mar-15,17776.12
Apr-15,17840.52
May-15,18010.68
Jun-15,17619.51
Jul-15,17751.39
