Transaction,PurchaseDate,CustomerID,Gender,MaritalStatus,Homeowner,Children,AnnualIncome,City,StateOrProvince,Country,ProductFamily,ProductDepartment,ProductCategory,UnitsSold,Revenue
197,1/23/2015,2313,F,M,Y,3,$10K - $30K,San Diego,CA,USA,Food,Canned Foods,Canned Sardines,4,10.8
198,1/23/2015,363,F,M,Y,4,$130K - $150K,Los Angeles,CA,USA,Food,Deli,Meat,6,30.91
199,1/23/2015,3412,M,S,N,5,$30K - $50K,Portland,OR,USA,Non-Consumable,Health and Hygiene,Decongestants,3,16.79
200,1/23/2015,5016,M,M,Y,5,$70K - $90K,Los Angeles,CA,USA,Food,Deli,Meat,3,13.86
201,1/23/2015,4727,F,M,Y,4,$150K +,Spokane,WA,USA,Food,Snack Foods,Snack Foods,5,6.6
202,1/23/2015,3776,F,S,N,4,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Electrical,4,7.49
203,1/23/2015,9826,M,S,Y,4,$70K - $90K,Salem,OR,USA,Food,Produce,Vegetables,4,10.88
204,1/23/2015,3773,F,S,Y,1,$110K - $130K,Tacoma,WA,USA,Food,Produce,Vegetables,5,9.01
205,1/23/2015,9263,F,M,Y,2,$30K - $50K,Spokane,WA,USA,Food,Canned Foods,Canned Tuna,3,8.63
206,1/23/2015,9306,M,M,Y,4,$50K - $70K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,7.81
207,1/23/2015,7149,F,S,Y,4,$10K - $30K,Salem,OR,USA,Food,Produce,Fruit,4,2.63
208,1/24/2015,2158,M,M,Y,3,$10K - $30K,Portland,OR,USA,Food,Produce,Vegetables,4,13.68
209,1/24/2015,213,F,S,Y,3,$30K - $50K,Los Angeles,CA,USA,Non-Consumable,Household,Kitchen Products,3,25.29
210,1/24/2015,3446,F,S,Y,4,$30K - $50K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,3,13.06
211,1/24/2015,8606,F,M,N,2,$110K - $130K,Seattle,WA,USA,Food,Canned Foods,Canned Sardines,4,15.12
212,1/24/2015,976,F,M,Y,5,$70K - $90K,Spokane,WA,USA,Non-Consumable,Household,Paper Products,3,10.71
213,1/24/2015,5734,M,M,Y,3,$30K - $50K,Salem,OR,USA,Food,Canned Foods,Vegetables,3,6.4
214,1/24/2015,9264,F,M,N,4,$90K - $110K,San Diego,CA,USA,Drink,Beverages,Carbonated Beverages,4,26.68
215,1/24/2015,4670,M,S,Y,1,$30K - $50K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,3,11.47
216,1/25/2015,8342,F,M,Y,2,$70K - $90K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,4,8.12
217,1/25/2015,4457,M,S,N,2,$30K - $50K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,2,5.34
218,1/25/2015,1741,M,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Dairy,Dairy,3,4.75
219,1/25/2015,9014,F,S,N,1,$50K - $70K,Salem,OR,USA,Food,Canned Foods,Canned Soup,4,4.22
220,1/25/2015,6866,F,M,N,5,$10K - $30K,Tacoma,WA,USA,Food,Canned Products,Fruit,5,9.13
221,1/26/2015,2878,F,M,Y,4,$30K - $50K,Bremerton,WA,USA,Food,Deli,Meat,3,17.22
